Title;Developer(s);Publisher(s);Release Year
ClayFighter 2: Judgment Clay;Interplay Entertainment;Interplay Entertainment;1995
Claymates;Visual Concepts;Interplay Entertainment;1994
Cliffhanger;Malibu Interactive;Sony Imagesoft;1993
Clock Tower;Human Entertainment;Human Entertainment;ased
ClockWorks;Axes Art Amuse;Tokuma Shoten;ased
Clue;Sculptured Software;Parker Brothers;1992
College Football USA '97: The Road to New Orleans;Black Pearl Software;EA Sports;1996
College Slam;Iguana Entertainment;Acclaim Entertainment;1996
Columns;Marigul Management;Media Factory;ased
The Combatribes;Technōs Japan;Technōs Japan;1993
Computer Nouryoku Kaiseki: Ultra Baken;Culture Brain;Culture Brain;ased
Congo's Caper;Data East;Data East;1993
Contra III: The Alien Wars;Konami;Konami;1992
Conveni Wars Barcode Battler Senki: Super Senshi Shutsugeki Seyo!;SAS Sakata;Epoch Co.;ased
Cool Spot;Virgin Interactive;Virgin Interactive;1993
Cool World;Ocean Software;Ocean Software;1993
Coron Land;Aroma;Yumedia;ased
Cosmo Gang the Puzzle;Namco;Namco;ased
Cosmo Gang the Video;Namco;Namco;ased
Cosmo Police Galivan II: Arrow of Justice;Cream;Nichibutsu;ased
Crayon Shin-chan: Arashi wo yobu Enji;Sun L;Bandai;ased
Crayon Shin-chan 2: Daimaou no Gyakushuu;Sun L;Bandai;ased
Crayon Shin-chan: Osagusu Dobon;AIM;Bandai;ased
Crystal Beans From Dungeon Explorer;Birthday;Hudson Soft;ased
Cu-On-Pa;T&E Soft;T&E Soft;ased
Cutthroat Island;Software Creations (UK);Acclaim Entertainment;1996
Cyber Knight;Advance Communication Company;Tonkin House;ased
Cyber Knight II: Chikyuu Teikoku no Yabou;Group SNE;Tonkin House;ased
Cyber Spin;Takara;Takara;1992
Cybernator;Masaya;Masaya;1993
Cyborg 009;BEC;Bandai;ased
Daffy Duck: The Marvin Missions;ICOM Simulations;Sunsoft;1993
Daibakushou Jinsei Gekijou;Taito;Taito;ased
Daibakushou Jinsei Gekijou: Dokidoki Seishun;Taito;Taito;ased
Daibakushou Jinsei Gekijou: Ooedo Nikki;Taito;Taito;ased
Daibakushou Jinsei Gekijou: Zukkoke Salary Man Hen;Taito;Taito;ased
Daikaijuu Monogatari;Birthday;Hudson Soft;ased
Daikaijuu Monogatari 2;AIM;Hudson Soft;ased
Daisenryaku Expert;SystemSoft Alpha;ASCII;ased
Daisenryaku Expert WWII: War in Europe;SystemSoft Alpha;ASCII;ased
Darius Twin;Taito;Taito;1991
Dark Half;West One;Enix;ased
Dark Kingdom;Telenet Japan;Telenet Japan;ased
Dark Law: Meaning of Death;SAS Sakata;ASCII;ased
Date Kimiko no Virtual Tennis;Jorudan;Yanoman;ased
David Crane's Amazing Tennis;David Crane;Absolute Entertainment;1992
Daze Before Christmas;Funcom;Sunsoft;lled
Deae Tonosama Appare Ichiban;Sunsoft;Sunsoft;ased
