Title;Developer(s);Publisher(s);Release Year
Super Nazo Puyo Tsuu: Ruruu no Tetsuwan Hanjouki;Compile;Compile;ased
Super Nichibutsu Mahjong;;Nichibutsu;ased
Super Nichibutsu Mahjong 2: Zenkoku Seiha Hen;;Nichibutsu;ased
Super Nichibutsu Mahjong 3: Yoshimoto Gekijou Hen;;Nichibutsu;ased
Super Nichibutsu Mahjong 4: Kiso Kenkyuu Hen;;Nichibutsu;ased
Super Ninja Boy;Culture Brain;Culture Brain;1993
Super Ninja-kun;;Jaleco;ased
Super Nova;Taito;Taito;1993
Super Off Road;Software Creations;Tradewest;1991
Super Off Road: The Baja;Software Creations;Tradewest;1993
Super Okuman Chouja Game;;Takara;ased
Super Oozumou: Nessen Ooichiban;;Namco;ased
Super Pachi-Slot Mahjong;Syscom;Nichibutsu;ased
Super Pachinko;Betop;I'Max;ased
Super Pachinko Taisen;;Banpresto;ased
Super Pinball: Behind the Mask;KaZe /;Nintendo;1994
Super Pinball II: Amazing Odyssey;KAZe;Meldac;ased
Super Play Action Football;Tose;Nintendo;1992
Super Power League;Now Production;Hudson Soft;ased
Super Power League 2;Now Production;Hudson Soft;ased
Super Power League 3;Now Production;Hudson Soft;ased
Super Power League 4;Now Production;Hudson Soft;ased
Super Professional Baseball II;Tose;Jaleco;ased
Super Punch-Out!!;Nintendo;Nintendo;1994
Super Putty;System 3;U.S. Gold;1993
Super Puyo Puyo;Compile;Banpresto;ased
Super Puyo Puyo Tsuu;Compile;Compile;ased
Super Puyo Puyo Tsuu Remix;Compile;Compile;ased
Super R.B.I. Baseball;Gray Matter;Time Warner Interactive;1995
Super R-Type;Irem;Irem;1991
Super Real Mahjong PIV;Affect;SETA;ased
Super Real Mahjong PV: Paradise: All-Star 4 Nin Uchi;SETA;SETA;ased
Super Robot Taisen EX;Winkysoft;Banpresto;ased
Super Robot Taisen Gaiden: Masou Kishin: The Lord of Elemental;Winkysoft;Banpresto;ased
Super Rugby;Tose;Tonkin House;ased
Super Sangokushi;Koei;Koei;ased
Super Scope 6;Nintendo;Nintendo;1992
Super Shougi;;I'Max;ased
Super Shougi 2;;I'Max;ased
Super Shougi 3: Kitaihei;Gaibrain;I'Max;ased
Super Slam Dunk;Virgin Interactive;Virgin Interactive;1993
Super Slap Shot;Ringler Studios;Virgin Interactive;1993
Super Smash TV;Beam Software;Acclaim Entertainment;1992
Super Soccer;Human Entertainment;Nintendo;1992
Super Soccer Champ;Taito;Taito;1992
Super Solitaire;Beam Software;Extreme Entertainment Group;1994
Super Soukoban;Thinking Rabbit;Pack-In-Video;ased
Super Star Wars;LucasArts;JVC Musical Industries;1992
Super Star Wars: The Empire Strikes Back;LucasArts;JVC Musical Industries;1993
Super Star Wars: Return of the Jedi;LucasArts;JVC Musical Industries;1994
Super Street Fighter II: The New Challengers;Capcom;Capcom;1994
Super Strike Eagle;MicroProse;MicroProse;1993
Super Tekkyuu Fight!;Metro;Banpresto;ased
Super Tennis;Tokyo Shoseki;Nintendo;1991
Super Tetris 2 + Bombliss;Tose;Bullet-Proof Software;ased
Super Tetris 2 + Bombliss: Gentei-ban;Tose;Bullet-Proof Software;ased
Super Tetris 3;Tose;Bullet-Proof Software;ased
Super Troll Islands;Kemco;American Softworks;1994
Super Trump Collection;;Bottom Up;ased
Super Trump Collection 2;;Bottom Up;ased
Super Tsume Shougi 1000;;Bottom Up;ased
Super Turrican;Factor 5;Seika Corporation;1993
Super Turrican 2;Factor 5;Ocean Software;1995
Super Ultra Baseball 2;;Culture Brain;lled
Super Uno;;Tomy Corporation;ased
Super V.G.;TGL;TGL;ased
Super Valis IV;Telenet Japan;Atlus;1993
Super Wagyan Land;Nova Games;Namco;ased
Super Wagyan Land 2;Nova Games;Namco;ased
Super Widget;Atlus;Atlus;1993
Super Wrestle Angels;;Imagineer;ased
Super Yakyuu Michi;Nippon Create;Banpresto;ased
Super Zugan: Hakotenjou Kara no Shoutaijou;;Electronic Arts Victor;ased
Super Zugan 2: Tsukanpo Fighter;;J-Wing;ased
Sutobasu Yarō Shō: 3 on 3 Basketball;KID;B-AI;ased
Sutte Hakkun;Nintendo;Nintendo;ased
Suzuka 8 Hours;Arc System Works;Namco;1994
SWAT Kats: The Radical Squadron;AIM;Hudson Soft;1995
Sword World SFC;;T&E Soft;ased
Sword World SFC 2;;T&E Soft;ased
Syndicate;Bullfrog Productions;Ocean Software;1995
Syvalion;Taito;Toshiba EMI;lled
T2: The Arcade Game;Probe Entertainment;LJN;1994
Table Game Daishuugou! Shougi Mahjong Hanafuda;;Varie;ased
Tactical Soccer;Electronic Arts Victor;Electronic Arts Victor;ased
Tactics Ogre: Let Us Cling Together;Quest Corporation;Quest Corporation;ased
Tadaima Yuusha Boshuuchuu Okawari;Human Entertainment;Human Entertainment;ased
Taekwon-Do;Human Club;Human Entertainment;ased
Taikou Rishinden;;Koei;ased
Taikyoku Igo: Goliath;;Bullet-Proof Software;ased
Taikyoku Igo: Idaten;;Bullet-Proof Software;ased
Take Yutaka G1 Memory;Gaps;Naxat Soft;ased
Takeda Nobuhiro no Super League Soccer;Tose;Jaleco;ased
Takemiya Masaki Kudan no Igo Taishou;;KSS;ased
Tales of Phantasia;Wolf Team;Namco;ased
Tamagotchi Town;Marigul;Bandai;ased
Tarot Mystery;Ukiyotei;Visit;ased
Taz-Mania;Visual Concepts;Sunsoft;1993
Tecmo Super Baseball;Tecmo;Tecmo;1994
Tecmo Super Bowl;Tecmo;Tecmo;1993
Tecmo Super Bowl II: Special Edition;Tecmo;Tecmo;1995
Tecmo Super Bowl III: Final Edition;Tecmo;Tecmo;1995
Tecmo Super NBA Basketball;Tecmo;Tecmo;1993
Teenage Mutant Ninja Turtles IV: Turtles in Time;Konami;Konami;1992
Teenage Mutant Ninja Turtles: Tournament Fighters;Konami;Konami;1993
Tekichuu Keiba Juku;;Banpresto;ased
Tenchi Muyou! Game Hen;Banpresto;Banpresto;ased
Tenchi o Kurau: Sangokushi Gunyuuden;;Capcom;ased
Tengai Makyou Zero;Red Company;Hudson Soft;ased
Tengai Makyou Zero: Shounen Jump no Shou;Red Company;Hudson Soft;ased
Tenshi no Uta: Shiroki Tsubasa no Inori;;Nippon Telenet;ased
The Terminator;Mindscape;Mindscape;1993
Terminator 2: Judgment Day;Bits Studios;LJN;1993
Terranigma;Quintet;Enix;ased
Tetris;Tose;Nintendo;1994
Tetris 2;Bullet-Proof Software;Nintendo;1994
Tetris Attack;Intelligent Systems;Nintendo;1996
Tetris Battle Gaiden;Bullet-Proof Software;Bullet-Proof Software;ased
Tetsuwan Atom;Minato Giken;Zamuse;ased
Theme Park;Bullfrog Productions;Electronic Arts;lled
Thomas the Tank Engine & Friends;Software Creations;THQ;1993
Thoroughbred Breeder;Hect;Hect;ased
Thoroughbred Breeder II;Hect;Hect;ased
Thoroughbred Breeder III;Hect;Hect;ased
Thunder Spirits;Technosoft;Seika Corporation;1992
Thunderbirds: Kokusai Kyuujotai Juudou Seyo!;Nova Games;Cobra Team;ased
The Tick;Software Creations;Fox Interactive;1994
Time Slip;Sales Curve Interactive;Vic Tokai;1993
Time Trax;Malibu Games;Malibu Games;1994
Timecop;Cryo Interactive;JVC Musical Industries;1995
Timon & Pumbaa's Jungle Games;Tiertex Design Studios;THQ;1997
Tin Star;Software Creations;Nintendo;1994
Tintin in Tibet;Infogrames;Infogrames;ased
Tiny Toon Adventures: Buster Busts Loose!;Konami;Konami;1993
Tiny Toon Adventures: Wacky Sports Challenge;Konami;Konami;1994
TKO Super Championship Boxing;Sting Entertainment;SOFEL;1992
TNN Bass Tournament of Champions;American Softworks;American Softworks;1994
Todd McFarlane's Spawn: The Video Game;Ukiyotei;Acclaim Entertainment;1995
Tokimeki Memorial: Densetsu no Ki no Shita de;Konami;Konami;ased
Tokoro's Mahjong;Syscom;Vic Tokai;ased
Tom and Jerry;Riedel Software Productions;Hi Tech Expressions;1993
Tommy Moe's Winter Extreme: Skiing & Snowboarding;Loriciel;Electro Brain;1994
Tony Meola's Sidekicks Soccer;Sculptured Software;Electro Brain;1993
Top Gear;Gremlin Interactive;Kemco;1992
Top Gear 2;Gremlin Interactive;Kemco;1993
Top Gear 3000;Gremlin Interactive;Kemco;1995
Top Management II;;Koei;ased
Toride;Metro;Takara;ased
Torneko no Daibōken: Fushigi no Dungeon;Chunsoft;Chunsoft;ased
Total Carnage;Black Pearl Software;Malibu Games;1993
Tottemo! Luckyman: Lucky Cookie Roulette Assault!!;;Bandai;ased
Touge Densetsu: Saisoku Battle;Lenar;Bullet-Proof Software;ased
Tower Dream;C-Lab;ASCII;ased
Toy Story;Traveller's Tales;Disney Interactive;1995
Toys;Imagineering;Absolute Entertainment;1993
Traverse: Starlight & Prairie;Pandora Box;Banpresto;ased
Treasure Hunter G;Sting Entertainment;Square;ased
Trials of Mana;Square;Square;ased
Trinea;Japan Art Media;Yanoman;ased
Troddlers;Atod;Seika Corporation;1993
Troy Aikman NFL Football;Leland Interactive Media;Tradewest;1994
True Golf Classics: Wicked 18;T&E Software;Bullet-Proof Software;1993
True Golf Classics: Pebble Beach Golf Links;T&E Software;T&E Software;1992
True Golf Classics: Waialae Country Club;T&E Software;T&E Software;1991
True Lies;Beam Software;LJN;1995
Tsukikomori;Pandora Box;Banpresto;ased
Tsuppari Ōzumō: Risshin Shusse Hen;Tecmo;Tecmo;ased
Tsuri Tarou;;Pack-In-Video;ased
Tsuyoshi Shikkari Shinasai: Taisen Puzzle-dama;;Konami;ased
Tuff E Nuff;Jaleco;Jaleco;1993
Turf Hero;;Tecmo;ased
Turf Memories;;BEC;ased
Turn and Burn: No-Fly Zone;Absolute Entertainment;Absolute Entertainment;1994
The Twisted Tales of Spike McFang;Red Company;Bullet-Proof Software;1994
U.N. Squadron;Capcom;Capcom;1991
Uchū no Kishi: Tekkaman Blade;A.I.;BEC;ased
Uchuu Race: Astro Go! Go!;KAZe;Meldac;lled
UFO Kamen Yakisoban: Kettler no Kuroi Inbō;KID;Den'Z;ased
Ugoku E Ver. 2.0: Aryol;;Altron;ased
Ultima: Kyouryuu Teikoku;Origin Systems;Pony Canyon;ased
Ultima: Runes of Virtue II;Origin Systems;FCI;1994
Ultima VI: The False Prophet;Infinity Co., Ltd;FCI;1994
Ultima VII: The Black Gate;Origin Systems;FCI;1994
Ultimate Fighter;Culture Brain;Culture Brain;1994
Ultimate Mortal Kombat 3;Avalanche Software;Williams Entertainment;1996
Ultra Baseball Jitsumeiban;Culture Brain;Culture Brain;ased
Ultra Baseball Jitsumeiban 2;Culture Brain;Culture Brain;ased
Ultra Baseball Jitsumeiban 3;Culture Brain;Culture Brain;ased
Ultra League: Moero! Soccer Daikessen!!;Tom Create;Yutaka;ased
Ultra Seven;BEC;Bandai;ased
Ultraman: Towards the Future;BEC;Bandai;1991
Umi no Nushi Tsuri;;Pack-In-Video;ased
Umizuri Meijin: Suzuki Hen;A-Wave;Electronic Arts Victor;ased
Umihara Kawase;Atelier Double;TNN;ased
Uncharted Waters;Koei;Koei;1993
Uncharted Waters: New Horizons;Koei;Koei;1994
Undercover Cops;;Varie;lled
Uniracers;DMA Design;Nintendo;1994
The Untouchables;Ocean Software;Ocean Software;1994
Urban Strike;Granite Bay Software;Black Pearl Software;1995
Ushio to Tora;;Yutaka;ased
Utopia: The Creation of a Nation;Jaleco;Jaleco;1993
Vegas Stakes;HAL Laboratory;Nintendo;1993
Venom/Spider-Man: Separation Anxiety;Software Creations;Acclaim Entertainment;1995
Verne World;Dual;Banpresto;ased
Virtual Bart;Sculptured Software;Acclaim Entertainment;1994
Virtual Soccer;Probe Entertainment;Hudson Soft;ased
Vortex;Argonaut Games;Electro Brain;1994
VS. Collection;Bottom Up;Bottom Up;ased
Wagyan Paradise;Namco;Namco;ased
Waka Taka Ōzumō: Brothers Dream Match;Tomcat System;Imagineer;ased
Waku Waku Ski Wonder Spur;Human Club;Human Entertainment;ased
Wally wo Sagase!;Natsu System;Tomy;ased
War 2410;Advanced Productions;Advanced Productions;1995
War 3010: The Revolution;Advanced Productions;Advanced Productions;1996
Waratte Iitomo! Tamorinpic;Athena;Athena;ased
Wario's Woods;Nintendo;Nintendo;1994
Warlock;Realtime Associates;LJN;1995
WarpSpeed;Accolade;Accolade;1992
Waterworld;Ocean Software;Ocean Software;lled
Wayne Gretzky and the NHLPA All-Stars;Time Warner Interactive;Time Warner Interactive;1995
Wayne's World;Gray Matter;THQ;1993
WCW SuperBrawl Wrestling;Beam Software;FCI;1994
Weaponlord;Visual Concepts;Namco;1995
Wedding Peach;Shimada Kikaku;KSS;ased
We're Back! A Dinosaur's Story;Visual Concepts;Hi Tech Expressions;1993
Wheel of Fortune: Featuring Vanna White;Imagitec Design;GameTek;1992
Wheel of Fortune Deluxe!;Imagitec Design;GameTek;1994
Where in the World Is Carmen Sandiego?;EA Canada;Hi Tech Expressions;1993
Where in Time is Carmen Sandiego?;EA Canada;Hi Tech Expressions;1993
Whirlo;Nova Games;Namco;ased
Whizz;Flair Software;Titus Software;1996
Wild Guns;Natsume;Natsume;1995
WildSnake;Manley & Associates;Spectrum HoloByte;1994
Williams Arcade's Greatest Hits;Digital Eclipse Software;Williams Entertainment;1996
Wing Commander;Origin Systems;Mindscape;1992
Wing Commander: The Secret Missions;Origin Systems;Mindscape;1993
Wings 2: Aces High;Malibu Interactive;Namco;1992
Winning Post;Koei;Koei;ased
Winning Post 2;Koei;Koei;ased
Winning Post 2: Program '96;Koei;Koei;ased
Winter Gold;Nintendo;Nintendo;ased
Winter Olympic Games: Lillehammer '94;U.S. Gold;U.S. Gold;1994
Wizap!: Ankoku no Ou;Pop House/SAS Sakata;ASCII;ased
The Wizard of Oz;Manley & Associates;SETA;1993
Wizardry Gaiden IV: Throb of the Demon's Heart;Access;ASCII;ased
Wizardry I-II-III: Story of Llylgamyn;Gung-Ho!;Media Factory;ased
Wizardry V: Heart of the Maelstrom;ASCII Entertainment;Capcom;1994
Wizardry VI: Bane of the Cosmic Forge;Game Studio;ASCII;ased
Wolfchild;Core Design;Virgin Interactive;1993
Wolfenstein 3D;Imagineer;Imagineer;1994
Wolverine: Adamantium Rage;Bits Studios;LJN;1994
Wonder Project J: Kikai no Shounen Pīno;Almanic;Enix;ased
Wondrous Magic;System Sacom;ASCII;ased
Wordtris;Bullet-Proof Software;Spectrum HoloByte;1992
World Class Rugby;Audiogenic;Imagineer;ased
World Class Rugby 2: Kokunai Gekitou Hen '93;Denton Designs;Misawa;ased
World Cup USA '94;U.S. Gold;U.S. Gold;1994
World Heroes;Sunsoft;Sunsoft;1993
World Heroes 2;Saurus Co., Ltd;Takara;1994
World League Soccer;ANCO;Mindscape;1992
World Masters Golf;Arc Developments;Virgin Interactive;ased
World Soccer '94: Road to Glory;Rage Software;Coconuts Japan;1993
Worms;Team17;Ocean Software;ased
Wrecking Crew '98;;Nintendo;ased
WWF RAW;Sculptured Software;LJN;1994
WWF Royal Rumble;Sculptured Software;LJN;1993
WWF Super WrestleMania;Sculptured Software;LJN;1992
WWF WrestleMania: The Arcade Game;Iguana Entertainment;Acclaim Entertainment;1995
Xak: The Art of Visual Stage;Micro Cabin;Sunsoft;ased
Xardion;Asmik Ace Entertainment;Asmik Ace Entertainment;1992
X-Kaliber 2097;Toshiba EMI;Activision;1994
X-Men: Mutant Apocalypse;Capcom;Capcom;1994
X-Terminator 2 Sauke;GameTech;GameTech;ased
X-Zone;Kemco;Kemco;1992
Yadamon: Wonderland Dreams;Sting Entertainment;Tokuma Shoten;ased
Yakouchuu;Athena;Athena;ased
Yamato Takeru;Multimedia Intelligence Transfer;Toho;ased
YamYam;Pandora Box;Bandai;ased
Yokoyama Mitsuteru: Sangokushi;Tose;Angel;ased
Yokoyama Mitsuteru: Sangokushi 2;Tose;Angel;ased
Yokoyama Mitsuteru: Sangokushi Bangi: Sugoroku Eiyuuki;Tose;Angel;ased
Yokozuna Monogatari;;KSS;ased
Yoshi no Cookie: Kuruppon Oven de Cookie;Bullet-Proof Software;National;ased
Yoshi's Cookie;Bullet-Proof Software;Bullet-Proof Software;1993
Yoshi's Safari;Nintendo;Nintendo;1993
Youchien Senki Madara;Nexus Interact;Datam Polystar;ased
Young Merlin;Westwood Studios;Virgin Interactive;1994
Ys III: Wanderers from Ys;Tonkin House;American Sammy;1992
Ys IV: Mask of the Sun;Tonkin House;Tonkin House;ased
Ys V: Kefin, The Lost City of Sand;Nihon Falcom;Nihon Falcom;ased
Ys V Expert;Nihon Falcom;Nihon Falcom;ased
Yuu Yuu Hakusho;Namco;Namco;ased
Yuu Yuu Hakusho 2: Kakutou no Shou;Namco;Namco;ased
Yuu Yuu Hakusho Final: Makai Saikyou Retsuden;Namco;Namco;ased
Yuu Yuu Hakusho: Tokubetsu Hen;Namco;Namco;ased
Yume Maboroshi no Gotoku;Tose;Intec;ased
Yume Meikyuu: Kigurumi Daibouken;Axes Art Amuse;Hect;ased
Yuujin: Janjuu Gakuen;Varie;Varie;ased
Yuujin: Janjuu Gakuen 2;Varie;Varie;ased
Yuujin no Furi Furi Girls;U-Jin;Planning Office Wada;ased
Yuuyu no Quiz de GO! GO!;Taito;Taito;ased
Zakuro no Aji;Imagineer;Imagineer;ased
Zan II: Spirits;Wolf Team;Telenet Japan;ased
Zan III Spirits;Wolf Team;Wolf Team;ased
Zenkoku Juudan: Ultra Shinri Game;Ukiyotei;Visit;ased
Zenkoku Koukou Soccer;Affect;Yojigen;ased
Zenkoku Koukou Soccer 2;Nihon Syscom;Yojigen;ased
Zenkoku Koukou Soccer Senshuken '96;Magical Company;Magical Company;ased
Zen-Nippon Pro Wrestling;Natsume;Masaya;ased
Zen-Nippon Pro Wrestling Dash: Sekai Saikyō Tag;Natsume;Masaya;ased
Zen-Nippon Pro Wrestling: Fight da Pon!;Natsume;Masaya;ased
Zen-Nippon Pro Wrestling 2: 3–4 Budōkan;Natsume;Masaya;ased
Zero the Kamikaze Squirrel;Iguana Entertainment;Sunsoft;1994
Zero4 Champ RR;Media Rings;Media Rings;ased
Zero4 Champ RR-Z;Media Rings;Media Rings;ased
Zico Soccer;Electronic Arts Victor;Electronic Arts Victor;ased
Zig Zag Cat: Ostrich Club mo Oosawagi da;Opera House;Den'Z;ased
Zoku: The Legend of Bishin;Magifact;Magifact;ased
Zombies Ate My Neighbors;LucasArts;Konami;1993
Zoo-tto Mahjong!;Nintendo;Nintendo;ased
Zool: Ninja of the "Nth" Dimension;Gremlin Interactive;GameTek;1994
Zoop;Hookstone Productions;Viacom New Media;1995
